Country,Continent,Total Case,Total Death,Total Test,Total Vaccination,People Vaccinated,People Fully Vaccinated,Population,Median Age,Life Expectancy,Aged Older 65,Aged Older 70,Cardiovasc Death Rate,Male Smokers,Female Smokers,Diabetes Prevalence,Hospital Beds Per Thousand,Human Development Index,Extreme Poverty,Population Density,Gdp Per Capita
Rwanda,Africa,133194,1468,4029152,920644,10572981,9897876,13776702,20.3,69.0,3.0,1.6,191.4,21.0,4.7,4.3,,0.5,56.0,494.9,1854.2
Burkina Faso,Africa,22056,396,547,,5152110,4129254,22673764,17.6,61.6,2.4,1.4,269.0,23.9,1.6,2.4,0.4,0.5,43.7,70.2,1703.1
Cayman Islands,North America,31472,37,9358,15339,62085,60664,68722,,83.9,,,,,,13.2,,,,256.5,49903.0
New Zealand,Oceania,2306943,2942,4258074,12052284,4301605,4182631,5185289,37.9,82.3,15.3,9.7,128.8,17.2,14.8,8.1,2.6,0.9,,18.2,36085.8
Namibia,Africa,171310,4091,847071,234709,616314,538776,2567024,22.0,63.7,3.6,2.1,243.8,34.2,9.7,3.9,,0.6,13.4,3.1,9541.8
Cameroon,Africa,125036,1972,,10290,3656503,3107836,27914542,18.8,59.3,3.2,1.9,244.7,,,7.2,1.3,0.6,23.8,50.9,3364.9
Gabon,Africa,48992,307,93986,1486,311244,257471,2388997,23.1,66.5,4.5,3.0,260.0,,,7.2,6.3,0.7,3.4,7.9,16562.4
Lebanon,Asia,1237556,10914,237492,5134981,2740227,2414223,5489744,31.1,78.9,8.5,5.4,266.6,40.7,26.9,12.7,2.9,0.7,,594.6,13367.6
Puerto Rico,North America,1252713,5938,3019115,,,,3252412,38.2,80.1,15.2,9.8,108.1,,,12.9,,,,376.2,35044.7
Benin,Africa,28014,163,,,3697190,2742837,13352864,18.8,61.8,3.2,1.9,235.8,12.3,0.6,1.0,0.5,0.5,49.6,99.1,2064.2
Paraguay,South America,735759,19880,2597470,4149165,3993938,3546685,6780745,26.5,74.3,6.4,3.8,199.1,21.6,5.0,8.3,1.3,0.7,1.7,17.1,8827.0
Bermuda,North America,18860,165,41927,,48554,47657,64207,,82.6,,,139.5,,,13.0,,,,1308.8,50669.3
Poland,Europe,6517237,119617,,41528798,22876148,22648104,39857144,41.8,78.7,16.8,10.2,227.3,33.1,23.3,5.9,6.6,0.9,,124.0,27216.4
England,Europe,,,,142058067,45417090,42951064,56550000,,,,,,,,,,,,,
Scotland,Europe,,,,12790751,4549556,4285946,5466000,,,,,,,,,,,,,
Bulgaria,Europe,1307926,38397,3430255,4409319,2108296,2077685,6781955,44.7,75.1,20.8,13.3,424.7,44.4,30.1,5.8,7.5,0.8,1.5,65.2,18563.3
Cyprus,Europe,660854,1364,29495854,428204,671193,646142,896007,37.3,81.0,13.4,8.6,141.2,52.7,19.6,9.2,3.4,0.9,,127.7,32415.1
Argentina,South America,10044957,130472,36663990,115720981,41495229,34882007,45510324,31.9,76.7,11.2,7.4,191.0,27.7,16.2,5.5,5.0,0.8,0.6,16.2,18933.9
Grenada,North America,19693,238,3187,1159,44241,39034,125459,29.4,72.4,7.3,5.0,244.0,,,10.7,3.7,0.8,,317.1,13593.9
Mali,Africa,33150,743,605,,4354292,3633589,22593598,16.4,59.3,2.5,1.5,268.0,23.0,1.6,2.4,0.1,0.4,,15.2,2014.3
Iraq,Asia,2465545,25375,12996351,26828,11332925,7944775,44496124,20.0,70.6,3.2,2.0,218.6,,,8.8,1.4,0.7,2.5,88.1,15664.0
Canada,North America,4681261,52977,62175498,96561101,34763194,31762130,38454328,41.4,82.4,17.0,10.8,105.6,16.6,12.0,7.4,2.5,0.9,0.5,4.0,44017.6
Belarus,Europe,994037,7118,1448467,,6438808,6354262,9534956,40.3,74.8,14.8,9.8,443.1,46.1,10.5,5.2,11.0,0.8,,46.9,17168.0
Bosnia and Herzegovina,Europe,402998,16347,1043518,93862,943394,846080,3233530,42.5,77.4,16.6,10.7,329.6,47.7,30.2,10.1,3.5,0.8,0.2,68.5,11713.9
France,Europe,39053413,163718,278234000,154467041,54675551,53189897,67813000,42.0,82.7,19.7,13.1,86.1,35.6,30.1,4.8,6.0,0.9,,122.6,38605.7
Fiji,Oceania,68921,883,402088,28295,712025,641194,929769,28.6,67.4,6.2,3.3,412.8,34.8,10.2,14.5,2.3,0.7,1.4,49.6,8703.0
Serbia,Europe,2542363,18055,9852866,3264684,3354075,3278198,6871547,41.2,76.0,17.4,,439.4,40.2,37.7,10.1,5.6,0.8,,80.3,14048.9
Philippines,Asia,4148401,66476,27817521,55439750,82684774,78443972,115559008,25.2,71.2,4.8,2.7,370.4,40.8,7.8,7.1,1.0,0.7,,351.9,7599.2
Libya,Africa,507263,6437,1980537,200655,2316327,1236102,6812344,29.0,72.9,4.4,2.8,341.9,,,10.4,3.7,0.7,,3.6,17881.5
Saint Helena,Africa,2166,0,,,4361,3531,5401,,80.6,,,,,,,,,,,
Palestine,Asia,703228,5708,3050518,1640780,2012767,1776973,5250076,20.4,74.1,3.0,1.7,265.9,,,10.6,,0.7,1.0,778.2,4449.9
Uzbekistan,Asia,253662,1637,,15127072,21717290,18147665,34627648,28.2,71.7,4.5,2.9,724.4,24.7,1.3,7.6,4.0,0.7,,76.1,6253.1
Azerbaijan,Asia,831862,10277,1716435,10719068,5373253,4862494,10358078,32.4,73.0,6.0,3.9,559.8,42.5,0.3,7.1,4.7,0.8,,119.3,15847.4
Germany,Europe,38429922,174412,,192197041,64876299,63563414,83369840,46.6,81.3,21.5,16.0,156.1,33.1,28.2,8.3,8.0,0.9,,237.0,45229.2
Oceania,,14215717,27354,,82797434,28959949,27965117,45038860,,,,,,,,,,,,,
Tunisia,Africa,1153323,29420,1001807,8546870,7218831,6401540,12356116,32.7,76.7,8.0,5.1,319.0,65.8,1.1,8.5,2.3,0.7,2.0,74.2,10849.3
Sint Maarten (Dutch part),North America,11052,92,,,29788,26773,44192,,79.0,,,,,,,,,,1209.1,36327.2
Australia,Oceania,11420039,21063,73363499,62460562,22231907,21648824,26177410,37.9,83.4,15.5,10.1,107.8,16.5,13.0,5.1,3.8,0.9,0.5,3.2,44648.7
Guinea,Africa,38563,468,,1586407,7679918,4725982,13859349,19.0,61.6,3.1,1.7,336.7,,,2.4,0.3,0.5,35.3,51.8,1998.9
Qatar,Asia,513580,690,7574423,5475250,2852178,2852178,2695131,31.9,80.2,1.3,0.6,176.7,26.9,0.8,16.5,1.2,0.8,,227.3,116935.6
Samoa,Oceania,16743,31,,,191403,177954,222390,22.0,73.3,5.6,3.6,349.0,38.1,16.7,9.2,,0.7,,69.4,6021.6
Mongolia,Asia,1010034,2136,5490193,4415265,2272965,2175617,3398373,28.6,69.9,4.0,2.4,460.0,46.5,5.5,4.8,7.0,0.7,0.5,2.0,11840.8
Zimbabwe,Africa,265139,5697,1869683,10801392,6437808,4751270,16320539,19.6,61.5,2.8,1.9,307.8,30.7,1.6,1.8,1.7,0.6,21.4,42.7,1899.8
Saudi Arabia,Asia,841469,9646,43251385,58060875,27041364,25433941,36408824,31.9,75.1,3.3,1.8,259.5,25.4,1.8,17.7,2.7,0.9,,15.3,49045.4
